SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,65 E India Row Unit 23B,Boston,MA,02110,1375000,2,2.5,Waterfront,1630,1630,1972,1,844,1584,Active,,,http://www.redfin.com/MA/Boston/65-E-India-Row-02110/unit-23B/home/9260934,MLS PIN,72681546,N,Y,42.3576699,-71.0504859
MLS Listing,,Condo/Co-op,174 M St #2,Boston,MA,02127,650000,2,2.0,Boston,954,871,1880,1,681,150,Active,,,http://www.redfin.com/MA/Boston/174-M-St-02127/unit-2/home/12448972,MLS PIN,72681544,N,Y,42.3318841,-71.0329996
MLS Listing,,Single Family Residential,3 Nearen Row Unit 3A,Boston,MA,02129,1200000,3,2.5,Charlestown,1605,1605,2012,1,748,222,Active,June-28-2020 02:00 PM,June-28-2020 03:00 PM,http://www.redfin.com/MA/Boston/3-Nearen-Row-02129/unit-3A/home/172277771,MLS PIN,72681514,N,Y,42.3767458,-71.0588731
MLS Listing,,Condo/Co-op,36 Kilsyth Rd #1,Brookline,MA,02445,1499000,4,2.0,Brookline,1948,,1905,1,770,1325,Active,,,http://www.redfin.com/MA/Brookline/36-Kilsyth-Rd-02445/unit-1/home/11456255,MLS PIN,72681480,N,Y,42.3387042,-71.1447415
MLS Listing,,Townhouse,3 Nearen Row Unit A,Boston,MA,02129,1200000,3,2.5,Charlestown,1605,,2012,1,748,222,Active,June-28-2020 02:00 PM,June-28-2020 03:00 PM,http://www.redfin.com/MA/Boston/3-Nearen-Row-02129/unit-A/home/85680705,MLS PIN,72681473,N,Y,42.376755,-71.058838
MLS Listing,,Townhouse,37 Revere #8,Boston,MA,02114,875000,2,1.0,Beacon Hill,700,,1900,1,1250,504,Active,,,http://www.redfin.com/MA/Boston/37-Revere-St-02114/unit-8/home/9258204,MLS PIN,72681459,N,Y,42.3596733,-71.067616
MLS Listing,,Multi-Family (2-4 Unit),28 Windom St,Boston,MA,02134,975000,4,3.0,Allston,1486,3400,1900,1,656,,Active,,,http://www.redfin.com/MA/Allston/28-Windom-St-02134/home/8989548,MLS PIN,72681458,N,Y,42.3601565,-71.1243112
MLS Listing,,Condo/Co-op,6 Shelby St #3,Boston,MA,02128,399897,2,1.0,East Boston,640,1250,1900,1,625,250,Active,June-28-2020 12:00 PM,June-28-2020 01:00 PM,http://www.redfin.com/MA/Boston/6-Shelby-St-02128/unit-3/home/172276484,MLS PIN,72681438,N,Y,42.3811213,-71.0278963
MLS Listing,,Single Family Residential,9 Dartmouth Pl,Boston,MA,02116,2975000,3,3.0,South End,2176,1095,1900,1,1367,,Active,,,http://www.redfin.com/MA/Boston/9-Dartmouth-Pl-02116/home/9242647,MLS PIN,72681436,N,Y,42.3449454,-71.0737913
MLS Listing,,Condo/Co-op,15 Sleeper St #502,Boston,MA,02210,1299000,0,1.0,Seaport District,1450,,1911,1,896,686,Active,,,http://www.redfin.com/MA/Boston/15-Sleeper-St-02210/unit-502/home/9252747,MLS PIN,72681416,N,Y,42.3519914,-71.0488968
MLS Listing,,Condo/Co-op,35 Fay St #501,Boston,MA,02118,835000,1,1.0,South End,805,805,2006,1,1037,530,Active,,,http://www.redfin.com/MA/Boston/35-Fay-St-02118/unit-501/home/21719091,MLS PIN,72681406,N,Y,42.3431334,-71.066215
MLS Listing,,Single Family Residential,116 Pembroke St,Boston,MA,02118,4585000,4,4.0,South End,4172,1512,1865,1,1099,,Active,June-28-2020 11:00 AM,June-28-2020 12:30 PM,http://www.redfin.com/MA/Boston/116-Pembroke-St-02118/home/9284676,MLS PIN,72681395,N,Y,42.3426939,-71.0772385
MLS Listing,,Condo/Co-op,20 Rowes Wharf #607,Boston,MA,02110,2495000,2,2.0,Waterfront,1464,1464,1987,1,1704,2583,Active,,,http://www.redfin.com/MA/Boston/20-Rowes-Wharf-02110/unit-607/home/9229924,MLS PIN,72681363,N,Y,42.3566639,-71.0497268
MLS Listing,,Condo/Co-op,528 E Third St #2,Boston,MA,02127,479000,1,1.0,South Boston,581,,1890,1,824,174,Active,,,http://www.redfin.com/MA/Boston/528-E-3rd-St-02127/unit-2/home/11837414,MLS PIN,72681362,N,Y,42.3365759,-71.0385578
MLS Listing,,Condo/Co-op,64 W Cedar St Unit 2A,Boston,MA,02114,425000,1,1.0,Beacon Hill,360,,1910,1,1181,165,Active,June-28-2020 12:30 PM,June-28-2020 01:30 PM,http://www.redfin.com/MA/Boston/64-W-Cedar-St-02114/unit-2A/home/9255692,MLS PIN,72681330,N,Y,42.3596737,-71.0702973
MLS Listing,,Townhouse,30 Pinckney St #7,Boston,MA,02114,625000,1,1.0,Beacon Hill,518,518,1899,1,1207,221,Active,,,http://www.redfin.com/MA/Boston/30-Pinckney-St-02114/unit-7/home/11838784,MLS PIN,72681314,N,Y,42.3587419,-71.066242
MLS Listing,,Townhouse,175 Saint Botolph St #1,Boston,MA,02115,849000,2,1.5,Back Bay,914,914,1900,1,929,413,Active,,,http://www.redfin.com/MA/Boston/175-St-Botolph-St-02115/unit-1/home/9234951,MLS PIN,72681298,N,Y,42.3432581,-71.083153
MLS Listing,,Condo/Co-op,580 Washington St #1102,Boston,MA,02111,1895000,3,2.0,Midtown,1710,9999,2013,1,1108,1998,Active,,,http://www.redfin.com/MA/Boston/580-Washington-St-02111/unit-1102/home/85680623,MLS PIN,72681296,N,Y,42.3533804,-71.0619769
MLS Listing,,Condo/Co-op,24 Rawson St #2,Boston,MA,02125,735000,2,2.0,Dorchester,1308,,2016,1,562,350,Active,June-28-2020 12:00 PM,June-28-2020 02:00 PM,http://www.redfin.com/MA/Boston/24-Rawson-St-02125/unit-2/home/103767257,MLS PIN,72681231,N,Y,42.3260097,-71.057939
MLS Listing,,Condo/Co-op,26 Montgomery St #3,Boston,MA,02116,689000,2,1.0,South End,626,626,1910,1,1101,323,Active,,,http://www.redfin.com/MA/Boston/26-Montgomery-St-02116/unit-3/home/9233172,MLS PIN,72681201,N,Y,42.3437098,-71.0728983
MLS Listing,,Condo/Co-op,1218 VFW Pkwy #53,Boston,MA,02132,409900,2,2.0,West Roxbury,1073,,1986,1,382,318,Active,June-28-2020 12:30 PM,June-28-2020 02:00 PM,http://www.redfin.com/MA/West-Roxbury/1218-VFW-Pkwy-02132/unit-53/home/9201321,MLS PIN,72681199,N,Y,42.2789235,-71.170962
MLS Listing,,Condo/Co-op,15 Howard Ave #1,Boston,MA,02125,459000,2,1.0,Roxbury,1157,,2018,1,397,211,Active,,,http://www.redfin.com/MA/Boston/15-Howard-Ave-02125/unit-1/home/145118374,MLS PIN,72681156,N,Y,42.3197129,-71.0723765
MLS Listing,,Townhouse,377 Commonwealth #4,Boston,MA,02115,575000,0,1.0,Back Bay,425,,1880,1,1353,260,Active,,,http://www.redfin.com/MA/Boston/377-Commonwealth-Ave-02115/unit-4/home/9270234,MLS PIN,72681155,N,Y,42.3494687,-71.0895037
MLS Listing,,Condo/Co-op,50 Liberty Unit 9F,Boston,MA,02210,3595000,2,2.5,Seaport District,1546,,2018,1,2325,1952,Active,,,http://www.redfin.com/MA/Boston/50-Liberty-Dr-02210/unit-9F/home/171788674,MLS PIN,72681133,N,Y,42.3542528,-71.0444578
MLS Listing,,Condo/Co-op,32 Rutland St Unit 1L,Boston,MA,02118,3950000,3,3.0,South End,3443,3443,1899,1,1147,1155,Active,,,http://www.redfin.com/MA/Boston/32-Rutland-St-02118/unit-1L/home/40397558,MLS PIN,72681054,N,Y,42.339472,-71.0758224
MLS Listing,,Condo/Co-op,15 N Beacon St #226,Boston,MA,02135,559000,2,2.0,Allston,825,,1989,2,678,596,Active,,,http://www.redfin.com/MA/Boston/15-N-Beacon-St-02134/unit-226/home/8987893,MLS PIN,72681009,N,Y,42.3538162,-71.1380593
MLS Listing,,Condo/Co-op,597 E 7Th St #3,Boston,MA,02127,899000,2,2.0,South Boston,1077,1077,1915,2,835,224,Active,June-28-2020 01:30 PM,June-28-2020 03:00 PM,http://www.redfin.com/MA/Boston/597-E-7th-St-02127/unit-3/home/22194868,MLS PIN,72681001,N,Y,42.3320351,-71.0362516
MLS Listing,,Condo/Co-op,44 Garden St #2,Boston,MA,02114,749000,2,1.0,Beacon Hill,608,608,1885,2,1232,220,Active,,,http://www.redfin.com/MA/Boston/44-Garden-St-02114/unit-2/home/11735813,MLS PIN,72680989,N,Y,42.3600503,-71.0667432
MLS Listing,,Condo/Co-op,22 Glenville #2,Boston,MA,02134,650000,4,1.0,Allston,1400,1306,1910,2,464,821,Active,,,http://www.redfin.com/MA/Boston/22-Glenville-Ave-02134/unit-2/home/8995803,MLS PIN,72680965,N,Y,42.3504845,-71.1324083
MLS Listing,,Condo/Co-op,3193 Washington St #302,Boston,MA,02130,795000,3,1.0,Jamaica Plain,1075,,2020,2,740,495,Active,,,http://www.redfin.com/MA/Boston/3193-Washington-St-02130/unit-302/home/169225309,MLS PIN,72680962,N,Y,42.312799,-71.101595
MLS Listing,,Condo/Co-op,3193 Washington St #306,Boston,MA,02130,495000,1,1.0,Jamaica Plain,630,,2020,2,786,290,Active,,,http://www.redfin.com/MA/Boston/3193-Washington-St-02130/unit-306/home/172272302,MLS PIN,72680960,N,Y,42.312799,-71.101595
MLS Listing,,Condo/Co-op,3193 Washington St #305,Boston,MA,02130,745000,2,1.0,Jamaica Plain,995,,2020,2,749,458,Active,,,http://www.redfin.com/MA/Boston/3193-Washington-St-02130/unit-305/home/172272301,MLS PIN,72680959,N,Y,42.312799,-71.101595
MLS Listing,,Vacant Land,254 Paris St,Boston,MA,02128,750000,,,East Boston,,2500,,2,,,Active,,,http://www.redfin.com/MA/Boston/254-Paris-St-02128/home/9117994,MLS PIN,72680943,N,Y,42.3758537,-71.0340604
MLS Listing,,Condo/Co-op,18 Emerson St #2,Boston,MA,02127,489000,1,1.0,South Boston,593,,1900,2,825,150,Active,,,http://www.redfin.com/MA/Boston/18-Emerson-St-02127/unit-2/home/21717232,MLS PIN,72680889,N,Y,42.3366854,-71.0433127
MLS Listing,,Condo/Co-op,231 W 5th St #1,Boston,MA,02127,589000,2,1.0,Boston,846,846,1890,2,696,208,Active,June-28-2020 11:00 AM,June-28-2020 01:00 PM,http://www.redfin.com/MA/Boston/231-W-Fifth-St-02127/unit-1/home/50260856,MLS PIN,72680824,N,Y,42.3358602,-71.0502146
MLS Listing,,Condo/Co-op,35 Whitford St #2,Boston,MA,02131,425000,2,1.0,Roslindale,1078,,1962,2,394,190,Active,June-28-2020 12:00 PM,June-28-2020 02:00 PM,http://www.redfin.com/MA/Roslindale/35-Whitford-St-02131/unit-2/home/172271126,MLS PIN,72680806,N,Y,42.2803372,-71.1285818
MLS Listing,,Condo/Co-op,300 Pier 4 Blvd Unit 7C,Boston,MA,02210,6988500,3,3.5,Seaport District,2255,,2019,2,3099,4260,Active,,,http://www.redfin.com/MA/Boston/300-Four-Blvd-02210/unit-7C/home/166699990,MLS PIN,72680799,N,Y,42.3521689,-71.0431394
MLS Listing,,Multi-Family (2-4 Unit),82 H,Boston,MA,02127,1350000,3,3.0,South Boston's Dorchester Heights,2118,1500,1890,2,637,,Active,,,http://www.redfin.com/MA/Boston/82-H-St-02127/home/9189019,MLS PIN,72680766,N,Y,42.3349997,-71.0413019
MLS Listing,,Condo/Co-op,966 Hyde Park Ave #102,Boston,MA,02136,539000,3,2.0,Hyde Park,1280,9750,2020,2,421,338,Active,,,http://www.redfin.com/MA/Hyde-Park/966-Hyde-Park-Ave-02136/unit-102/home/172270790,MLS PIN,72680764,N,Y,42.2667898,-71.120644
MLS Listing,,Multi-Family (2-4 Unit),16 Roxton St,Boston,MA,02121,950000,9,3.0,Dorchester,4368,5000,1930,2,217,,Active,June-27-2020 03:00 PM,June-27-2020 04:30 PM,http://www.redfin.com/MA/Boston/16-Roxton-St-02121/home/9085322,MLS PIN,72680756,N,Y,42.2984575,-71.0802561
MLS Listing,,Single Family Residential,46 Murray Hill Rd,Boston,MA,02131,899000,4,2.5,Composers Hill,2270,4000,2020,2,396,,Active,,,http://www.redfin.com/MA/Boston/46-Murray-Hill-Rd-02131/home/172270485,MLS PIN,72680739,N,Y,42.2868882,-71.1252883
MLS Listing,,Townhouse,13 Park St #4,Boston,MA,02122,899000,3,2.5,Dorchester,2191,,1890,2,410,398,Active,June-28-2020 02:00 PM,June-28-2020 03:00 PM,http://www.redfin.com/MA/Dorchester/13-Park-St-02122/unit-4/home/172270328,MLS PIN,72680727,N,Y,42.3023115,-71.0535375
